p: 355.674325085, r: 82.1121653717, y: 192.422565469
p: 355.788444313, r: 83.330541346, y: 191.783054857
p: 356.05879003, r: 85.6102330947, y: 190.938379022
p: 356.693096252, r: 88.3488111028, y: 189.828323018
p: 357.520871637, r: 90.8147484498, y: 189.087520701
p: 358.615156627, r: 93.2267204722, y: 188.541406095
p: 359.773850569, r: 95.0441040367, y: 188.48125945
p: 0.72373970442, r: 96.1796434768, y: 188.508908055
p: 1.34464621513, r: 96.9117168124, y: 188.773277357
p: 1.5157648654, r: 96.4677271956, y: 188.742923997
p: 1.14810528061, r: 94.7187889567, y: 188.559697342
p: 0.188938747214, r: 92.3978018843, y: 188.549110549
p: 358.910907661, r: 89.968139672, y: 189.032401074
p: 357.41202254, r: 87.4234365835, y: 189.810837734
p: 356.284047962, r: 85.4280651194, y: 190.301313618
p: 355.254839199, r: 85.1467979293, y: 190.502244123
p: 354.592617781, r: 86.2940852948, y: 190.432658156
p: 354.719739128, r: 87.9278119028, y: 190.285276334
p: 355.257662202, r: 89.5523450761, y: 190.122854435
p: 356.111505431, r: 90.3763595881, y: 189.800018714
p: 356.666020742, r: 90.560747375, y: 189.674753045
p: 357.23365215, r: 90.4433432533, y: 189.665108818
p: 357.848813565, r: 89.5635534165, y: 189.778804147
p: 358.561417019, r: 88.5061103594, y: 190.14035338
p: 359.224603842, r: 87.2844490641, y: 190.310711958
p: 359.416168396, r: 86.4604618728, y: 190.417741023
p: 359.454348407, r: 86.1534107187, y: 190.32666728
p: 359.404433918, r: 86.3578519409, y: 190.259376257
p: 359.210329974, r: 87.3909112227, y: 190.265509766
p: 358.884582297, r: 89.0686857206, y: 190.193328327
p: 358.726203124, r: 90.9358408736, y: 190.08692764
p: 358.727534477, r: 92.1536294517, y: 190.009719182
p: 358.846851799, r: 92.6777098667, y: 190.032299787
p: 358.929148001, r: 92.1874388881, y: 190.177250062
p: 359.129534866, r: 90.6956709318, y: 190.387196417
